,ApplicationId,SubprojectId,FiscalYear,OrganisationName,OrganisationCity,OrganisationState,DepartmentType,ProjectNumber,ProjectSerialNumber,OrganisationCountry,ActivityCode,AwardAmount,IsActive,ProgramOfficers,AgencyICFundig,ProjectStartDate,ProjectEndDate,FundingOpportunityAnnouncements,AbstractText,ProjectTitle,PHRText,ProjectInvestigatorsName,ProjectInvestigatorsId
29,9060328,,2016,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,ANATOMY/CELL BIOLOGY,5T32GM007229-40,GM007229,UNITED STATES,T32,461061,False,JOSEPH G GINDHART,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2019-06-30T04:00:00Z,PA11184,"DESCRIPTION (provided by applicant): We propose to continue a flexible interdisciplinary Training Program in Cell and Molecular Biology, currently in its 37th year at the University of Pennsylvania. The training program is a University-wide, interdepartmental and interschool program whose mission is to provide a multifaceted doctoral program to prepare students for careers in cell and molecular biology in academia, industry, or government. The training program's goal is to provide broad-based training in modern methods of cell and molecular biology and in-depth didactic exposure to cell and molecular biology, while at the same time matching the Trainees' specific interests. These goals are achieved through general and specialized courses, literature survey courses, laboratory rotations, a qualifying examination, thesis research with oversight from an advising committee, training in bioethics, and training grant-specific activities. Trainee-specific activities include an annual oral presentation of ongoing thesis research; attending the annual Cell and Molecular Biology Retreat; attending the Annual Trainee Organized Invited Lectures; participating in Alumni Day in which a former Trainee who has completed their Ph.D. and left Penn is invited back to give a seminar and meet with the Trainees; group attendance of Trainees/Trainer at the annual meeting of the American Society for Cell Biology meeting and the Current and Former Trainee Lunch in which 2 former Trainees present a talk on their thesis research. Students completing their second year of graduate studies are appointed for two years and are selected annually by the Executive Committee. Trainers come from the Schools of Medicine, Veterinary Medicine, Arts and Science, and Engineering and Applied Science, and the Wistar Institute and not only have active research programs in cell and molecular biology but also a commitment to graduate education. The training program has formal mechanisms to monitor trainees both during and after their training grant support. In addition, the training program has formal mechanisms to monitor trainers, as well as to resolve any conflicts between trainees and trainers. Last, Trainers
participate in a number of efforts to recruit under-represented minorities both locally and nationally. Direct management of the Training Program is done by an Executive Committee that sets and reviews policy and selects trainees. Based on the number of potential trainees, we request support for 14 predoctoral trainees/year for the next 5 years; this number is the same as that currently supported by the training grant.",Training Program in Cell and Molecular Biology,"PUBLIC HEALTH RELEVANCE: This Predoctoral Training Program includes education and research opportunities to investigate the molecular and cellular basis of fundamental biological processes that range from cell signaling to gene expression, employing a wide array of model systems.","MARISA S. BARTOLOMEI,RICHARD M SCHULTZ","1883128,1876102"
30,9060175,,2016,UNIVERSITY OF WISCONSIN-MADISON,MADISON,WI,MISCELLANEOUS,4T32HD007014-40,HD007014,UNITED STATES,T32,243652,False,Rebecca L Clark,Eunice Kennedy Shriver National Institute of Child Health and Human Development,1975-07-01T04:00:00Z,2017-04-30T04:00:00Z,PA11184,"   
DESCRIPTION (provided by applicant): This application requests five additional years of support for training in population research at the Center for Demography and Ecology, University of Wisconsin-Madison. Although we have expanded our interdisciplinary activities and the breadth of our training, we are requesting the same number of predoctoral (8) and postdoctoral (1) stipends. The Center for Demography and Ecology has for nearly 50 years offered a world-class program of training in population science. Its graduates are among the most renowned demographers and population scientists. The training program is based on four critical ingredients: outstanding and diverse faculty conducting innovative research; capable and committed graduate students; high-quality resources for faculty and student research and study; and a well-designed and fully implemented curriculum combining course work and research experience. Since 2009 CDE has been an independent unit in the College of Letters & Science, raising its visibility and facilitating the development of intellectual linkages across campus. New
and stronger ties across departments and disciplines enhance students' interdisciplinary training experiences. The international components of CDE's research portfolio have grown extensively in the past five years, producing a diverse set of international projects and research networks through which students can develop their own international research agenda. The 45 members of the CDE training faculty offer a rich curriculum and extraordinary opportunities for students to
participate on a wide variety of research projects. Research resources provided to students from CDE's infrastructure grant, individual grants, and university support are outstanding. Together with a demanding curriculum and an intensive apprenticeship system, CDE's human and material resources produce one of the best available environments for pre- and postdoctoral training in population research.   
   
",Demography and Ecology," The Center for Demography and Ecology offers state-of-the-art instruction and training in demographic processes including fertility, health and mortality, an migration. Our students predominately enter research careers in academic and government institutions and agencies. Their research increases the understanding of basic behavioral processes and influence national policies that affect the health and well-being of all groups of the American population.   
      

",JAMES M RAYMO,1954499
31,9102055,,2016,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,INTERNAL MEDICINE/MEDICINE,5T32DK007066-42,DK007066,UNITED STATES,T32,476018,False,Christine L Densmore,National Institute of Diabetes and Digestive and Kidney Diseases,1975-07-01T04:00:00Z,2020-06-30T04:00:00Z,PA14015,"﻿   
DESCRIPTION (provided by applicant): The University of Pennsylvania Perelman School of Medicine (Penn) Gastroenterology (GI) Training Program has been instrumental in the development of academic research careers for gastroenterology trainees since 1963. During the last 15 years, there has been a tremendous expansion of biomedical research. The Penn GI Training Program has increased its base of basic science faculty coupled with impressive growth and maturation of the adult and pediatric GI divisions. Trainees have outstanding opportunities to pursue molecular and cellular biology in the field of gastroenterology, including hepatology and pancreatology. Direction: The Program Director (Dr. Anil Rustgi) and Associate Director (Dr. Gary Wu) have an administrative structure that oversees the needs of the Training Program, assisted by an Internal Advisory Board and an External Advisory Board. They are complemented by rigorous individual trainee research advisory committees. Faculty: Research faculty from the Adult and Pediatric GI divisions and basic science departments are selected based upon experience with trainees, independent and externally funded laboratories, and relevant projects in digestive, liver and pancreatic diseases. The faculty is grouped by research interests; we refer to them as affinity or thematic groups: 1) Developmental biology and genetics; 2) Immunobiology and host responses; and 3) Cell growth and differentiation. Proposed Training: The cornerstone of the Program is an intensive laboratory-based research experience (basic and translational), which entails close interaction with a training program faculty mentor and close oversight by a research advisory committee and the administrative structure. This laboratory work is supplemented by an educational curriculum that includes an introductory course in molecular and cellular biology, selected University courses, research seminars and lectures, journal clubs, written and oral research presentations, and seminars on extramural funding and the bioethics of scientific research. Candidates: Outstanding trainees with MD or MD-PhD degrees (postdoctoral fellows) or occasionally PhD degrees enter the Program from the Adult and Pediatric GI Fellowship Programs after being selected through a nationally competitive application process. Additionally, there has been growth in Penn's Physician-Scientist Residency Pathway (short-track internal medicine residents pursuing GI fellowship) and new avenues have emerged to identify future trainees in gastroenterology, including through our NIDDK R25 undergraduate training grant and our medical student T32 training grant supplements.",Training Program in Gastrointestinal Sciences,"PUBLIC HEALTH RELEVANCE: Gastroenterology is a multidisciplinary field including approaches in basic science and translational medicine. It is vital to improve diagnosis and therapy of gastrointestinal diseases and disorders through research discoveries. The future of gastroenterology is predicated upon the development and growth of young physician-scientists and basic scientists. The University of Pennsylvania Perelman School of Medicine Gastroenterology Training Program has had historic success, and continues to be on the leading edge of nurturing young researchers and ensuring their maturation as leading investigators.",Anil K Rustgi,1868587
32,9100736,,2016,UNIVERSITY OF WISCONSIN-MADISON,MADISON,WI,INTERNAL MEDICINE/MEDICINE,4T32ES007015-39,ES007015,UNITED STATES,T32,553915,False,Carol A. Shreffler,National Institute of Environmental Health Sciences,1975-07-01T04:00:00Z,2018-06-30T04:00:00Z,PA11184,"DESCRIPTION (provided by applicant)   
   
The Molecular and Environmental Toxicology Center Training Grant (METC-TG) involves 34 trainers that have outstanding training records and well-funded research programs. These trainers cover a variety of research areas such as developmental toxicology, predictive toxicology, structural biology, high throughput toxicology, stem cell toxicology, mammalian genetics, molecular biology and biochemistry. Pre-doctoral trainees come from the METC graduate program and other Ph.D. graduate programs such as M.D./Ph.D., Cancer Biology, Cellular and Molecular Pathology, Molecular and Cellular Pharmacology, Biomolecular Chemistry, and Pharmaceutical Sciences. Candidates are considered for support for a period of two to three years. Postdoctoral trainees are also supported for two years, but will be required to
submit an Individual NRSA application in their first six months. The selection of trainees and oversight of the grant will be carried out by the Training Grant Leadership (TGL) which consists of the Director and two co-Deputy Directors.  In addition, four subcommittees monitor student progress, curriculum, recruitment and trainee input. The METC will be reviewed by an External Advisory Board composed of nationally recognized toxicologists at the midpoint of the next funding cycle. This application seeks continued support for eight pre-doctoral and four postdoctoral positions.  All pre-doctoral trainees take a METC-TG core curriculum comprised of courses in basic mechanistic toxicology, the environment and human disease, research ethics and career development. They are also required to attend a weekly toxicology research seminar, and complete additional courses required by their Trainee. Pre- and postdoctoral trainees will also be mentored in grant writing, ethics, managing techniques and teaching. A preliminary examination qualifies predoctoral trainees for the final research phase and thesis examination, although laboratory research is continuous from the first semester. Pre-doctoral trainee progress is monitored by Research Advisory Committees for each trainee and by the TGL.  Postdoctoral training is facilitated by appointment of a Postdoctoral Career Advisory Committee (two faculty mentors in addition to a trainer) that will recommend selected didactic continuing education courses, collaborations and professional development credits. The recruitment of minorities to the Program is given high priority and is facilitated by a NIEHS-funded Summer Minority Research Program for undergraduates. The University provides two-year special fellowships for minority and disadvantaged students. Upon completion of the training program, graduates usually undertake a period of postdoctoral training, after which they are well qualified to assume responsible career positions in toxicology in academic, governmental, or other public or private research institutions, or industrial laboratories.",Molecular & Environmental Toxicology Pre-& Postdoctoral Training Program,Public Health Relevance: The human chemical environment influences a significant fraction of human morbidity and mortality. This application is designed to train the next generation of scientists to take leadership positions in the arena of human oriented environmental health research. Training of such scientists is essential if we are to understand how our environment impacts our health and if we are to properly identify and regulate those important causal chemicals.,CHRISTOPHER A BRADFIELD,1877011
33,9113061,,2016,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NEW YORK,NY,INTERNAL MEDICINE/MEDICINE,5T32HL007151-38,HL007151,UNITED STATES,T32,409925,False,Henry  Chang,National Heart Lung and Blood Institute,1975-07-01T04:00:00Z,2019-06-30T04:00:00Z,PA11184,"DESCRIPTION (provided by applicant): The New York University School of Medicine has a long established record of training academic hematologists. In large part, this record has been fostered by the continuous support, since 1962, of a NIH Training Grant (T32) which supports 6 M.D., M.D., PhD, and PhD Trainees. The long term goal of the Training Program is to prepare Hematology Trainees for future careers in academic medicine. The interaction of both M.D., M.D./PhD, and PhD Trainees in a unified Training Program serves to increase the number of physicians and scientists committed to a career in research. The Training Program exposes Trainees to rigorous mentored lab based hematology research, a detailed curriculum, seminar series, a journal club, a clinical management conference, and the opportunity to participate (for M.D Trainees) or observe (for PhD Trainees) the practice of clinical hematology relevant to the Trainee's laboratory investigation. Trainees are selected from the ACGME accredited adult and pediatric hematology/medical oncology fellowship programs and from eligible post- doctoral PhD fellows in participating faculty member's laboratories. The program, led by a Director with three well qualified Associate Directors, is specifically dedicated to actively recruiting underrepresented minorities. Our 15 Mentors have experience in mentoring and documented productivity, and their laboratories are highly interactive and use a variety of model systems to study 1) benign hematology including PNH, platelet biology and Fanconi anemia; 2) the genetics of leukemia; 3) JAK/STAT and Ras signaling mechanisms in hematopoietic stem cells, lymphopoieis, leukemia and lymphoma; 4) lymphopoiesis and lymphocyte activation (including GVHD); 5) mechanisms of myeloid and lymphoid trafficking; 6) ubiquitination in hematopoietic stem cell biology, lymphopoiesis, and leukemia/lymphoma; and 7) the epigenetic and molecular basis of normal and abnormal hematopoiesis. Past graduates of our program have achieved the highest ranks of academia and have made lasting contributions to the field of hematology, and a high proportion of our recent graduates remain in academia, using the research skills gained as Trainees in careers as researchers, academic teachers and trialists. Over the last 10 years the majority of our graduates have obtained positions in academic institutions, have published their findings in the highest tier of journals, and have received multiple NIH and foundation awards.",Research in the Pathogenesis of Hematologic Disorders,"Project Narrative
Hematological disorders represent a major cause of death in the U.S. Insights into many diseases have also
come from laboratory-based research of hematological disorders and hematopoiesis. Well trained physicians
and scientists will lead the way to new treatments for these disorders through fundamental and translational
research, education, and clinical trials.",LAWRENCE Benjamin GARDNER,2053992
34,9088463,,2016,WASHINGTON UNIVERSITY,SAINT LOUIS,MO,INTERNAL MEDICINE/MEDICINE,5T32GM007200-42,GM007200,UNITED STATES,T32,2248668,False,Stefan  Maas,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2020-06-30T04:00:00Z,PA14015,"﻿   
DESCRIPTION (provided by applicant): This is a renewal application to support the Medical Scientist Training Program (MSTP) at Washington University in St. Louis. The overarching goal of the MSTP is to provide in-depth pre-doctoral training in clinical medicine and biomedical research for individuals desiring careers as physician-scientists. The applicant pool is strong and in the past funding period, the MSTP made significant strides in recruiting diversity students. Medical training is provided by the School of Medicine and research training is carried out in the interdisciplinary graduate programs of the Division of Biology and Biomedical Sciences, and in the Departments of Biomedical Engineering and Anthropology. Together, these graduate programs encompass nearly all contemporary areas of biomedical research. The basic components of the MSTP are: 1) Two years of the preclinical medical school curriculum; 2) Coursework in a biomedically relevant discipline; 3) Three or more years of original, hypothesis-driven research leading to completion of a doctoral thesis; 4) At least 15 months of clinical training; and 5) A wealth of academic and social programs designed to enhance the program and cohesiveness of the student body. The M.D. and Ph.D. degrees are awarded jointly at the successful completion of both components which typically takes 7-8 years, a period shortened by integrating both curricula. Upon completion of subsequent postgraduate training, MSTP alumni will be prepared to enter the workforce as physician-scientists. Based on the track record of this program, the vast majority will join the faculty of te nation's medical schools while others will contribute to the nation's biomedical research enterprise in government laboratories, biotechnology firms, and the pharmaceutical industry. Regardless of their position, their MSTP training will allow them to bridge the gap between the basic laboratory and the clinic. The success of this program is due to strong institutional support
and continued funding of this grant. Thus, this renewal application seeks continued support for 55 students annually for 36 months each with the goal of graduating 20-25 MSTP students each year over the period of this grant.",National Research Science Award - Medical Scientist,"PUBLIC HEALTH RELEVANCE: The Medical Scientist Training Program at Washington University is a pre-doctoral program that trains future physician-scientists for careers where they
will have the abilities to treat patients, teach medical students and scientists, and conduct cutting-edge research that improves human health and eradicates disease. They will be uniquely qualified to help bridge the gap between the research laboratory and the clinic.",Wayne M. Yokoyama,8404502
35,9088462,,2016,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NEW YORK,NY,PATHOLOGY,5T32GM007308-40,GM007308,UNITED STATES,T32,1277652,False,Stefan  Maas,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2020-06-30T04:00:00Z,PA14015,"﻿   
DESCRIPTION (provided by applicant): This is a competing renewal application for T32GM007308-39, which funds the Medical Scientist Training Program (MSTP) at NYU School of Medicine (NYUSOM). The purpose of the MSTP is to train physician-scientists who will be capable of moving seamlessly between the realms of rigorous scientific inquiry and the holistic approach required for patient care. Students who successfully complete the MSTP graduate with both an MD and PhD degree. The MSTP at NYUSOM was one of the first three programs to be funded by NIGMS in 1964 and has been NIH funded ever since. Many of the 314 graduates have had illustrious careers and are counted among the leaders of academic medicine in the United States. The training begins with a summer research rotation, followed by three semesters of pre-clinical medical education punctuated by a second summer research rotation. Students then select a thesis lab and begin graduate work under the auspices of the Sackler Institute of Graduate Biomedical Sciences. Graduate training is offered in thirteen interdisciplinary training programs that include Biomedical Imaging, Biomedical Informatics, Cellular & Molecular Biology, Computational Biology, Developmental Genetics, Immunology and Inflammation, Microbiology, Molecular Biophysics, Molecular Oncology & Tumor Immunology, Molecular Pharmacology, Neuroscience & Physiology, Pathobiology, and Stem Cell Biology. Upon completion of a PhD thesis, the trainees return to medical school for the clinical portion of the curriculum, participating in all required clerkships as well as clinical electives. Trainees ar expected to complete the training in eight years or less. Over the past 5-year grant cycle, the median time-to-degree was 8.1 years. Mark Philips, MD, who runs an active molecular cell biology laboratory and who has trained 10 MSTP students, serves as the eighth director of the NYU MSTP and is assisted by two Co-Directors, Mitchell Chesler and Jennifer Philips, both MD/PhDs. A Faculty Operating Committee (FOC) and a full-time administrative staff assist the Co-directors. The training faculty consists of 121 full-time, tenure-track faculty who are selected
by the Co-directors for the quality of their research programs and their skills as mentors. Admission to the NYU MSTP is highly competitive. Over the past 5-year grant cycle 1883 students applied, 517 were interviewed, 197 (10.5%) were offered admission, and 47 matriculated. Significant effort is made to enhance the diversity of MSTP students. Of the 71 students currently enrolled in the MSTP, 10 (14%) are members of underrepresented minorities, one is disabled, and three are economically disadvantaged. The competitiveness of the NYU MSTP with regard to recruiting top candidates has improved over the past 5-year grant cycle both as a consequence of reorganization of the MSTP and the sharp rise of NYUSOM in the national rankings of research medical schools (37th to 19th). The Administration of NYUSOM supports the MSTP with substantial funding: in 2013 the Administration contributed $3,967,369 (57% of the total cost). At the last competing renewal, T32GM007308-34 received an outstanding priority score and 29 training slots were funded. The government sequester in 2012 reduced the funding to 25 slots. In accord with the recent academic success of the MSTP and of NYUSOM in general, we seek to expand the MSTP from 8-10 students per year to 10-12 and therefore request funding for 35 trainees.",Medical Scientist Research Service Award,"PUBLIC HEALTH RELEVANCE: This proposal seeks to renew funding for the NYU Medical Scientist Training Program (MSTP), one of 44 such programs funded by the National Institutes of Health. The dual MD/PhD degrees conferred on MSTP trainees equip them with the skills required to function both as a physician and a scientist. The MSTP thereby produces a class of professionals ideally positioned to become leaders in academic medicine and to perform rigorous, patient-oriented research designed to improve human health.",MARK Reid PHILIPS,1888869
36,8875693,,2015,BRANDEIS UNIVERSITY,WALTHAM,MA,BIOLOGY,5T32GM007122-40,GM007122,UNITED STATES,T32,305733,False,Susan R. Haynes,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2016-06-30T04:00:00Z,PA10036,"DESCRIPTION (provided by applicant): This project supports the training of nine students annually at Brandeis University in the field of genetics, who will be appointed in the second year of their Ph. D. training. This grant has played a central role in the education of a highly productive group of interactive graduate students actively involved in genetics research in problems relating to molecular, cell, and developmental biology and neuroscience, with relevance to the mechanisms and treatment of human disease. The Training Grant Faculty are drawn from highly collaborative and interdisciplinary researchers in the Departments of Biology and Biochemistry. Students work in well-funded and productive laboratories that are supported by recently upgraded core facilities in DNA and protein analysis, proteomics, genomics, microscopy and mouse and viral transgenics. The proposed program emphasizes rigorous training to develop research and other professional skills including scientific literacy, writing and oral communication and quantitative approaches. The Ph. D. program has a core curriculum of molecular biology, cell biology and ethics and advanced genetics courses, which includes molecular genetics, neurogenetics, population genetics and genomics, epigenetics and human genetics. These core courses are supplemented by elective courses in biochemistry, structural biology, developmental biology, mathematical modeling or neuroscience and courses concerning human diseases such as cancer, infectious disease, neurological and development disorders. Trainees are appointed based on the strength of their academic records and research potential and are supported for two to three years. Progress of the students is closed monitored by a committee of Training Grant Faculty selected for each student. Qualifying examinations at the end of the first and second years provide a means to evaluate each student's ability to frame questions and propose research solutions in their emerging area of expertise and in an outside field. The training of students is supplemented by seminars and journal clubs, featuring a wide variety of successful investigators in diverse areas of biological research. A number of professional development activities feature valuable personal discussions that assist each student's career planning. Special opportunities for Trainees include enhanced personal interactions with speakers and participation in an annual Genetics Symposium. In addition, Trainees work with Training faculty in the planning and implementation of these activities. The program is assessed yearly through online surveys and personal discussions with Trainees. This, and the small size and interconnectedness of students and faculty, provides training responsive to the needs of each student in a first-class research setting.",Genetic and Biochemical Mechanisms of Regulation,"This project trains nine Ph. D. students yearly in the field of genetics at Brandeis University. Along with intensive coursework and research training, students work on basic mechanisms of disease and its treatment, including neurodegeneration, developmental disorders, heart disease, cancer and infectious disease. This training features the development of skills necessary for students to become productive and independent contributors in the fields of scientific and medical research.",SUSAN THOMAS LOVETT,1883094
37,8875664,,2015,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,INTERNAL MEDICINE/MEDICINE,5T32DK007007-41,DK007007,UNITED STATES,T32,189132,False,Christine L Densmore,National Institute of Diabetes and Digestive and Kidney Diseases,1975-07-01T04:00:00Z,2016-06-30T04:00:00Z,PA10036,"DESCRIPTION (provided by applicant): Training creative and productive academicians is a critical mission of gastroenterology programs. Emerging discoveries in related fields ranging from human genetics to molecular and cellular biology, microbiology and epidemiology have had major impacts on the understanding of pathophysiology of gastrointestinal diseases. The UCSF Division of Gastroenterology has been a leader in gastrointestinal research for over 40 years. In addition, allied Divisions and Departments at UCSF augment the training program by providing complementary and synergistic training experiences. During the past funding cycle, we have renewed our selection and training procedures to optimize the success of our trainees. The enhanced pool of applicants and trainees in our program attests to the success of our efforts. In this application, we propose to continue our training of innovative and creative academic investigators in gastroenterology.",INRSA Training Grant in Gastroenterology,"This application is for support of four training positions in an established program in digestive diseases that has been funded since 1975 at the Division of Gastroenterology, University of California, San Francisco. The Program's goal is preparing trainees for careers in academic luminal gastroenterology, and its track record in this regard is outstanding, with numerous graduates of the program now in leadership positions. The training environment is broadly interdisciplinary, reflecting the synergistic relationships of the Division of Gastroenterology with the IBD Center, the Immunology Program, the Cancer Center, the Institute of Molecular Medicine, and the graduate programs for Biomedical Sciences and Biological Sciences. These broadly interdisciplinary setting provides an ideal training environment for academic gastroenterologists of the future.  
  
NOTE: The criteria scores and the critiques given below were provided by the reviewers assigned to this application. These do not necessarily reflect the positions of the reviewers at the close of the group discussion or the final majority opinion of the group, although the reviewers were asked to amend their criteria scores and critiques if their positions changed during the discussion. Please note that the criteria scores are not averaged in arriving at the final overall impact scores. If the reviewers have not changed their criteria scores after the discussion, those shown in the critiques may reflect the opinion of the reviewers before the meeting. The Resume and other initial sections of the summary statement are the authoritative representations of the final outcome of the group discussion. If there is any discrepancy between the reviewers' commentaries and the priority/impact score on the face page of this summary statement, the priority/impact score should be considered the most accurate representation of the final outcome of the group discussion.",AVERIL I MA,1872380
38,8867216,,2015,YALE UNIVERSITY,NEW HAVEN,CT,INTERNAL MEDICINE/MEDICINE,5T32DK007058-41,DK007058,UNITED STATES,T32,390985,False,Arthur  Castle,National Institute of Diabetes and Digestive and Kidney Diseases,1975-07-01T04:00:00Z,2019-06-30T04:00:00Z,PA11184,"DESCRIPTION (provided by applicant): This proposal seeks continued support for the Yale research-training program in Diabetes Mellitus and Disorders of Metabolism. This program serves as the core source of support for postdoctoral research training in diabetes and endocrinology at the Yale School of Medicine. A major goal of the program is to provide physician-scientists with the research expertise required to pursue clinical, basic and translational research careers in an academic setting. Physician trainees entering the program will have M.D. or M.D./Ph.D. degrees and at least 2-3 years of clinical training in internal medicine or pediatrics. Ph.D. scientists are also recruited into the program since we believe an integrated training experience bringing together adult endocrinologists,  pediatric endocrinologists and endocrine scientists is necessary to prepare our trainees to participate in  modern multidisciplinary research groups. Trainees are selected based on their aptitude and commitment to a  research career. The duration of the training period is three years to ensure an in-depth training experience.  The cornerstone of the curriculum is the participation of each trainee in a specific research project under the supervision of a designated preceptor and guided by a progress committee composed of 2-3 other members of  the training faculty. Potential projects run the gamut from clinical to basic research in 3 primary areas of emphasis: 1) type 1 diabetes, 2) type 2 diabetes, and 3) bone and mineral metabolism. Within these areas, trainees have the opportunity to work with mentors in several basic science departments as well as those in  Pediatrics and Medicine. Close interaction among preceptors and trainees within each programmatic area and  within several multidisciplinary and interdepartmental research centers administered within the Endocrine  Section further enrich the training experience. Multiple educational opportunities including two degree-granting  (MS, PhD) programs are available to trainees through the CTSA-funded Yale Center for Clinical Investigation.  Instruction is also provided through organized lectures, research seminars and journal clubs. The application  requests an additional training slot per year for a total of 6 stipends. This is based
on our decision to fully  integrate Yale's pediatric and internal medicine training programs in diabetes and metabolism and, therefore,  not to seek renewal of the pediatric T32 (DK63703). It is also based on our ongoing track record of attracting an outstanding applicant pool, the high level of research productivity of our training faculty, the expanded  research opportunities provided by our diverse faculty and the continued shortage of physician-scientists in  both medicine and pediatrics dedicated to research careers in diabetes and metabolic diseases.",Diabetes Mellitus and Disorders of Metabolism,"PUBLIC HEALTH RELEVANCE: Obesity, diabetes and osteoporosis represent a spectrum of increasingly prevalent metabolic diseases that are  responsible for a great burden of suffering and death in the US and throughout the world. Academic endocrine  researchers are needed to better understand these disorders and to translate research findings into new  therapies. Our training program in diabetes and disorders of metabolism is dedicated to providing young  physicians and scientists with the research training necessary to tackle these important health problems.","ROBERT S SHERWIN,WILLIAM V TAMBORLANE,John J Wysolmerski","1882029,1901638,1872589"
39,8856252,,2015,UNIVERSITY OF GEORGIA,ATHENS,GA,GENETICS,5T32GM007103-40,GM007103,UNITED STATES,T32,273682,False,Susan R. Haynes,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2016-06-30T04:00:00Z,PA11184,"DESCRIPTION (provided by applicant): This proposal is a competitive renewal of a successful and established predoctoral training program whose objective is to broadly train high quality research scientists in basic genetic approaches to the study of biology at the molecular, cellular, organismal, and population level. Funds are requested to support eight trainees each year. Students enter the training program upon admission to the Department of Genetics based on merit and potential for success in scientific careers. Students are rigorously trained in cuttin-edge genetic and biochemical research and data analysis through laboratory research, classes, and attendance at seminars. In addition, they gain written and oral communication skills through preliminary and qualifying examinations; presentations in an annual seminar class, at lab meetings and journal clubs; attendance at national and international meetings; and preparation of manuscripts for publication. Students obtain teaching experience through a requirement to serve as teaching assistants in undergraduate introductory genetics or evolutionary biology for at least one semester in their second or third year. During their first year, students complete three laboratory research rotations as well as participate in lecture courses. All students are required to take at least one course in each of the three broad areas of molecular genetics, genomics and population genetics. The unusual breadth of genetics that students are exposed to throughout their training is a major strength of the program. At the end of their first year, students enter the lab where they will do their dissertation research, choosing from 33 training faculty in nine departments representing a very wide range of genetic disciplines. In years 2-5, students also enroll in seminars, advanced electives and special topics courses. To insure that students complete degree requirements in a timely manner, progress is monitored twice yearly, once by the Graduate Affairs Committee and once by students' dissertation committees. Written and oral examinations and major courses are normally completed by the end of the fifth semester. Graduates from this training program over the past 35+ years have been highly successful in careers in academia, government, and industry. The training program is dynamic and will continue to produce broadly trained leaders in genetics as it embraces the exciting genetic developments of the 21st Century.",T32 Predoctoral training grant in genetics,"PUBLIC HEALTH RELEVANCE: This project provides funds to annually support eight Ph.D. students in the field of genetics. It will considerably strengthen the entire graduate program in Genetics at its host institution, the University of Georgia. It will also contribute to public healh in the U.S. by helping train scientists with an exceptionally broad background that includes molecular, population and genomic approaches to genetics.",DAVID W. HALL,9305345
40,8877550,,2015,UNIVERSITY OF CALIFORNIA BERKELEY,BERKELEY,CA,BIOCHEMISTRY,5T32GM007127-40,GM007127,UNITED STATES,T32,509268,False,Susan R. Haynes,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2017-06-30T04:00:00Z,PA10036,"DESCRIPTION (provided by applicant):  The enclosed proposal presents a revised training program in genetics at UC Berkeley. The program spans four separate administrative units on the Berkeley campus: the Departments of Molecular & Cell Biology (MCB), Plant & Molecular Biology (PMB), Integrative Biology (IB), and the School of Public Health (PH). The program includes 43 training faculty, all prominent researchers in their respective areas of study (10 are members of the National Academy of Sciences). Training faculty represent three major areas of genetics research: developmental genetics, cell & systems-level analysis, and population genetics & evolution. Funds are requested to support the research activities of 15 graduate student trainees (per year) in genetics-oriented laboratories located within the four aforementioned administrative units. Trainees will be appointed by a steering committee composed of prominent faculty from each of the participating administrative units. This committee is also responsible for renewing the appointments of training faculty and appointing new faculty to the training program. In addition, the committee will review the efficacy of the training program by soliciting comments from past and present trainees and faculty. A number of mechanisms have been established to ensure that the proposed genetics training program offers a unique educational experience that is distinct from other programs on the Berkeley campus, such as genomics, cell & molecular biology, and immunology. First, genetics trainees are required to present their current research findings at an annual retreat that is restricted to trainees and their mentors. Second, all trainees will be required to enroll in at least one advanced genetics course, such as MCB 240. Third, all trainees are required to attend the annual Genetics, Genomics, and Development (GGD) retreat regardless of their departmental affiliations. And fourth, all trainees must participate in at least one additional genetics-oriented forum, such as the weekly GGD seminar series or regularly scheduled journal clubs and research meetings focused on topics in genetic analysis. A variety of outreach strategies will be employed to ensure that members of under- represented minorities, women, and disabled or otherwise disadvantaged students are given the opportunity to obtain training in this program and thereby gain access to the wonderful world of genetics.",Postgraduate Training Program in Genetics,"Our genes shape who we are. Our health, our susceptibility to disease, and our response to medicines are all affected by our genes. The training of scientists with a firm foundation in formal genetic analysis is essential for understanding how our genes contribute to health and disease.",Andrew G Dillin,1902647
